source_dataset,source_class,unified_class
dermnet,Eczema Photos,eczema
dermnet,Scabies Lyme Disease and other Infestations and Bites,scabies
dermnet,Tinea Ringworm Candidiasis and other Fungal Infections,tinea
dermnet,Atopic Dermatitis Photos,dermatitis
dermnet,Poison Ivy Photos and other Contact Dermatitis,dermatitis
dermnet,Light Diseases and Disorders of Pigmentation,vitiligo
dermnet,Acne and Rosacea Photos,acne
dermnet,Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions
dermnet,Bullous Disease Photos,Bullous Disease Photos
dermnet,Cellulitis Impetigo and other Bacterial Infections,Cellulitis Impetigo and other Bacterial Infections
dermnet,Exanthems and Drug Eruptions,Exanthems and Drug Eruptions
dermnet,Hair Loss Photos Alopecia and other Hair Diseases,Hair Loss Photos Alopecia and other Hair Diseases
dermnet,Herpes HPV and other STDs Photos,Herpes HPV and other STDs Photos
dermnet,Lupus and other Connective Tissue diseases,Lupus and other Connective Tissue diseases
dermnet,Melanoma Skin Cancer Nevi and Moles,Melanoma Skin Cancer Nevi and Moles
dermnet,Nail Fungus and other Nail Disease,Nail Fungus and other Nail Disease
dermnet,Psoriasis pictures Lichen Planus and related diseases,Psoriasis pictures Lichen Planus and related diseases
dermnet,Seborrheic Keratoses and other Benign Tumors,Seborrheic Keratoses and other Benign Tumors
dermnet,Systemic Disease,Systemic Disease
dermnet,Urticaria Hives,Urticaria Hives
dermnet,Vascular Tumors,Vascular Tumors
dermnet,Vasculitis Photos,Vasculitis Photos
dermnet,Warts Molluscum and other Viral Infections,Warts Molluscum and other Viral Infections
skindiseasebd,Eczema,eczema
skindiseasebd,Scabies,scabies
skindiseasebd,Tinea Ringworm,tinea
skindiseasebd,Dermatitis,dermatitis
skindiseasebd,Vitiligo,vitiligo
fitzpatrick_black,acne,acne
fitzpatrick_black,acne_vulgaris,acne
fitzpatrick_black,eczema,eczema
fitzpatrick_black,dyshidrotic_eczema,eczema
fitzpatrick_black,allergic_contact_dermatitis,dermatitis
fitzpatrick_black,acanthosis_nigricans,acanthosis_nigricans
fitzpatrick_black,acquired_autoimmune_bullous_diseaseherpes_gestationis,acquired_autoimmune_bullous_diseaseherpes_gestationis
fitzpatrick_black,acrodermatitis_enteropathica,acrodermatitis_enteropathica
fitzpatrick_black,actinic_keratosis,actinic_keratosis
fitzpatrick_black,aplasia_cutis,aplasia_cutis
fitzpatrick_black,basal_cell_carcinoma,basal_cell_carcinoma
